Genotype,Seed_yield_g.plot_2023,Seed_yield_g.plot_2024,Seed_yield_kg.ha_2023,Seed_yield_kg.ha_2024
FLIP09-282C,301.9138703,238.6182138,2979.786063,2216.860096
Ghaffa,309.2327366,105.1717319,2802.861719,1506.784131
IG70249,204.4652043,162.1086342,2314.23938,1932.396696
ILC1302,301.5152118,278.9096335,3369.780134,2555.157965
ILC533,190.9367603,89.06745942,2171.273124,1611.023981
NCS-0619,260.164011,169.9858498,3210.91171,1905.26907
S0110697,340.0405833,145.8055689,3510.063945,1925.326057
ILC605,228.2520001,208.3577507,2878.895309,2158.306231
FLIP06-79C,145.758493,145.6707337,1822.472055,1787.133727
FLIP09-429C,167.9655189,286.1941295,2699.75755,2600.937202
ILC1929,240.574016,203.0964077,2610.504891,2071.502973
S140524,282.1091771,235.7774582,2734.323958,2258.981889
FLIP97-107C,245.5654388,229.2578532,2962.650944,2310.783686
S100686,141.7781617,169.8053153,2261.691583,1859.542319
FLIP00-78C,340.6479641,227.7486016,2982.805217,2277.937477
ILWC110,102.1943525,89.63684223,1571.21478,1577.786602
ILWC119,104.3411185,173.5494922,1552.957808,1817.030461
FLIP09-423C,279.2999984,145.6723505,3047.027641,1768.016668
FLIP11-01C,245.4439314,169.2188901,2765.114805,1956.984982
FLIP09-75C,248.0803514,112.2692243,2973.820462,1525.19852
S130371,239.2136696,153.7118993,2721.685202,2010.774383
M-1281,321.5775482,102.1487223,3157.472621,1549.941639
M-2606,273.1094458,124.2454597,2615.128433,2178.074838
S120220,223.6695609,131.6382425,2698.511205,1976.563161
S120243,262.5347142,156.5410135,3005.026229,1816.380276
AB7-75,244.5263768,199.7895619,2445.391727,2078.742898
AB7-16,209.5022928,183.4201178,2796.15291,2065.570958
AB7-129,270.8913166,158.6340112,2593.913406,1870.030572
M-1346,126.2490122,166.4610182,2374.518944,2000.084562
FW4-1,292.8979051,217.00555,2977.361991,2217.563687
